field,type,name in your file,selected,description
catalog_number,integer,catalogNumber,TRUE,
determined_date,date,dateIdentified,FALSE,
collected_date,date,eventDate,FALSE,
kingdom,text,kingdom,TRUE,
phylum,text,Phylum1,TRUE,
class,text,class,TRUE,
order,text,order,TRUE,
family,text,family,TRUE,
genus,text,genus,TRUE,
species,text,species,TRUE,
type_status,text,typeStatus,TRUE,
determinator_full_name,text,identifiedBy,TRUE,
collector_full_name,text,recordedBy,TRUE,
min_depth,float,depth,TRUE,
altitude,float,elevation,TRUE,
lat,float,decimalLatitude,TRUE,
long,float,decimalLongitude,TRUE,
state,text,stateProvince,TRUE,
country,text,countryCode,TRUE,
locality,text,locality,TRUE,
